,0,1,accuracy,macro avg,weighted avg
precision,0.8569384835479256,0.45454545454545453,0.8387978142076503,0.65574196904669,0.7937209994833297
recall,0.9708265802269044,0.13043478260869565,0.8387978142076503,0.5506306814178,0.8387978142076503
f1-score,0.9103343465045592,0.20270270270270271,0.8387978142076503,0.5565185246036309,0.799162708475579
support,617.0,115.0,0.8387978142076503,732.0,732.0
