,0,1,accuracy,macro avg,weighted avg
precision,0.8602329450915142,0.2366412213740458,0.7486338797814208,0.54843708323278,0.7622642999719667
recall,0.8379254457050244,0.26956521739130435,0.7486338797814208,0.5537453315481644,0.7486338797814208
f1-score,0.8489326765188834,0.25203252032520324,0.7486338797814208,0.5504825984220433,0.7551573787562151
support,617.0,115.0,0.7486338797814208,732.0,732.0
